KR07,"Korea
韓國","Chungnam National University
忠南國立大學",701-750,10 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",建議Recommend: TOPIK3,,參考網頁 Link
KR08,"Korea
韓國","Konkuk University
建國大學",551-560,2/sem.,"全校大學部學生
U-wide UG students",,,參考網頁 Link
,,,,,,,,Fact Sheet
,,,,,,,,Courses Taught in English
,,,,,,,,"以下領域較多英語授課課程 The following departments offer more English-taught courses: Business Administration, International Trade, English Language and Literature, Economics, Political Science"
KR09,"Korea
韓國","Seoul National University
首爾國立大學",37,3,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students","建議 Recommend
iBT88/IELTS6/
TOPIK5","UG平均分數Avg. Score: 83+
PG平均分數Avg. Score: 89+",參考網頁 Link
,,,,,,,,Fact Sheet
KR10,"Korea
韓國","Pohang University of Science & Technology
浦項工科大學",77,3,"理工領域大學部及研究所學生
UG & PG students in STEM (science, technology, engineering and math)",iBT79/IELTS6,平均分數Avg. Score: 70+ (GPA over B),參考網頁 Link
,,,,,,,,Pamphlet
,,,,,,,,Fact Sheet
KR11,"Korea
韓國","Ewha Womans University
梨花女子大學",333,6 sem. slots,"科法院研究所學生
PG students of the School of Law",,"平均分數
Avg. Score:
75+",參考網頁 Link
KR11,"Korea
韓國","Hanyang University
漢陽大學",146,2 sem. slots,"全校大學部及碩班學生
U-wide UG & Master students","IELTS5.5/iBT72/
TOEIC785/
TOPIK Level 4","平均分數
Avg. Score:
60+",參考網頁 Link
,,,,,,,,Fact Sheet
,,,,,,,,課程列表 Course Catalog
,,,,6 sem. slots,"客家院大學部及碩士班學生
UG & Master students of the College of Hakka Studies","TOPIK Level 3/
IELTS5.5/
TOEIC785/iBT72","平均分數
Avg. Score:
60+","交換至漢陽大學ERICA校區-傳播院
Exchange to Erica campus of Hanyang University (College of Communication)"
KR12,"Korea
韓國","Korea Advanced Institute of Science and Technology (KAIST)
韓國高等理工學院",39,2 sem. slots,"管院碩班學生
College of Management Master students",,"平均分數
Avg. Score:
69+",參考網頁 Link
,,,,,,,,Fact Sheet
